,soundtrack,valence,energy,tension,anger,fear,happy,sad,tender,beauty,liking,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,entropy_fft,entropy_welch,novelty_mean,novelty_std,novelty_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,target
10,Batman Returns,2.38,6.38,8.33,2.79,7.42,1.09,1.6,1.07,3.58,4.37,124.2603550295858,8699,299.9655172413793,0.61717606,0.25091007,0.06295587,0.36523163,0.27480257,0.075516455,0.21699734782275865,0.19038246865513128,0.03624548437122204,0.090283796,1.0583018,1.1200027,-4.3531494,82.59325,6821.644,0.026742047,1.8634956,3.4726157,0.029221099,0.026901279,0.0007236788,1528.6510907109744,634.5986390372975,402715.4326679902,1911.5105760104914,416.4115544743776,173398.58269976758,20.59573319408429,7.090346730884582,50.27301676416567,3233.1544140546284,1397.9804218897025,1954349.2599869103,8.615283,2.007086,1.7085353,0.75900185,0.57608384,0.2778337740084057,0.3954230088614177,0.1563593559370168,-0.04921602235351201,0.11242030687164747,0.01263832539711539,0.0630182045543101,0.03832505489678615,0.0014688098328416719,-1.6272625e-06,0.034470405,0.0011882088,-6.381511e-05,0.0089392755,7.991065e-05,5.520544217687075,3.3821589655130753,11.438999268000474,FEAR_HIGH
11,JFK,3.6,7.42,8.06,2.28,6.12,1.28,1.57,1.27,4.65,4.99,113.45510676614356,7472,287.38461538461536,0.3394909,0.28876746,0.08338665,0.34277475,0.27776864,0.07715541,0.21650286267503424,0.19094460921128045,0.036459843786848606,0.18436192,0.8758836,0.76717204,-6.840938,62.183952,3866.844,-0.009027741,1.5806774,2.498541,0.05437929,0.017934002,0.0003216284,1264.2406271487823,310.3602959899139,96323.51332694694,1636.522914578183,277.2978742553717,76894.11106654794,20.953555572550197,5.699521275801592,32.484542773315006,2234.310824921685,707.5295395614428,500598.0493520273,11.646527,3.9831574,1.6703682,1.0657321,1.135785,0.674643249842404,0.7408156123240629,0.5488077714630762,-0.021460459781067958,0.1719568046506952,0.029569142665677357,0.0643129520052597,0.02096376848427671,0.00043947958906235347,-1.7274268e-05,0.04867433,0.0023691903,-4.7638292e-05,0.013546274,0.00018350154,1.8308934240362817,1.0846794904246018,1.1765295969477738,FEAR_HIGH
12,JFK,3.19,7.1,8.15,2.13,6.34,1.31,1.21,1.06,4.43,5.39,113.45510676614356,10048,334.93333333333334,0.5206041,0.28750888,0.08266136,0.50997347,0.2496888,0.0623445,0.2564785256184464,0.1324843357907691,0.01755209922992126,0.05627787,0.49520501,0.24522799,-6.8083625,96.80783,9371.756,0.015169804,3.1699631,10.048666,0.024387423,0.019779518,0.00039122938,906.5442550680905,368.57648804089223,135848.627536558,1328.108635320568,396.6418175025776,157324.7313917481,17.98944682194716,5.532329869109113,30.606673780636857,1572.2828863872362,589.807110421179,347872.42750338087,10.780715,2.5492845,2.0480878,2.8563097,8.158505,0.26259098985945367,0.38501588527904995,0.14823723191721055,-0.02837149566835394,0.08404989626420865,0.007064385062024236,0.041789601230160664,0.024836408264389497,0.000616847175475435,-1.2076468e-05,0.022942744,0.0005263695,-4.841715e-05,0.012316323,0.00015169181,2.723700680272109,1.7022000631453258,2.897485054971951,FEAR_HIGH
13,The Alien Trilogy,2.31,7.48,8.54,2.61,6.79,1.07,1.36,1.01,3.44,3.82,93.19526627218934,4267,251.0,0.36158395,0.31848237,0.10143102,0.48559216,0.2854211,0.08146521,0.24148045653304143,0.15817876736758074,0.025020522445927222,0.019505465,0.1687918,0.02849067,-18.571623,98.36195,9675.073,0.013596594,2.2190218,4.924058,0.013237565,0.015166038,0.0002300087,2053.9109670687676,427.91791409034414,183113.74119943116,1830.602852903976,264.5483048829249,69985.805616429,21.041216698266226,8.094368622170396,65.51880339157667,3642.398833394094,833.688273647655,695036.1376176073,13.826051,4.880026,1.6281834,1.109987,1.2320712,0.18877393858482652,0.3807443711012381,0.1449662761252773,-0.017416009791129488,0.0965221454578933,0.00931652456379471,0.13254808271059626,0.040612610772241015,0.001649384153737547,8.331884e-06,0.014835871,0.00022010306,1.0754905e-05,0.0077299136,5.975156e-05,6.9892063492063485,5.200181291987014,27.041885469531724,FEAR_HIGH
14,Hannibal,2.31,6.13,8.1,2.0,6.52,1.04,1.7,1.06,4.08,4.22,108.72781065088758,5226,248.85714285714286,0.38818026,0.30213878,0.09128784,0.37693825,0.2740584,0.07510801,0.2156882878351675,0.19186426406203755,0.03681189582406727,0.017642975,0.15633023,0.024439141,-9.142625,89.07795,7934.8813,0.0030403654,1.3108547,1.7183399,0.016567243,0.007949594,6.319606e-05,1257.5988024698286,276.7651480189106,76598.9471579295,1415.1843070545067,271.7859407464405,73867.59758742765,22.57148808542513,5.455485027982458,29.76231689054076,2201.0025484796997,578.9910655110124,335230.6539415774,10.176935,3.6216319,1.5856181,0.6424789,0.4127791,0.18961163508868648,0.20163978884817824,0.040658604446737905,-0.006098998977691636,0.13206961693737676,0.017442383717985434,0.08945675574634851,0.02860583464197389,0.0008182937755639535,-2.9272614e-06,0.017516425,0.00030682515,-2.2088554e-05,0.0024011575,5.765558e-06,4.410630385487528,2.5189260555648656,6.344988473403572,FEAR_HIGH
15,Running Scared,4.21,7.56,7.79,1.88,4.58,1.37,2.1,1.22,4.22,5.0,144.97041420118344,3991,190.04761904761904,0.4958723,0.30396122,0.09239242,0.2537696,0.2626851,0.06900346,0.19198115954168504,0.21558424737063556,0.046476567714363384,0.47024184,3.2022705,10.254536,1.9764675,64.6631,4181.317,-0.009495308,2.3431046,5.4901395,0.08376369,0.035988662,0.0012951839,1066.029736465269,437.6234967509796,191514.32490855467,1719.9674618399265,499.0008917976523,249001.8900148523,20.195078812346868,7.026536942751284,49.37222140784856,2193.3117603550295,1360.4650763181774,1850865.223881424,8.158431,3.042851,2.2168477,2.268851,5.1476846,0.7570282410528324,0.9179039476300794,0.8425476570748837,0.030441584591064223,0.1926478731021337,0.0371132030107758,0.032058398910103904,0.017068287247515735,0.0002913264295637083,-1.3172056e-06,0.07811892,0.006102566,-1.5831441e-05,0.028422253,0.0008078245,1.1482267573696148,0.6976997495437913,0.48678494051346916,FEAR_MODERATE
16,The Untouchables,3.02,4.58,7.75,1.75,6.25,1.1,1.75,1.16,4.35,4.55,153.49808562478245,12654,324.46153846153845,0.28915083,0.3005392,0.090323806,0.4301012,0.2682781,0.07197314,0.23965501677120224,0.16093106061207735,0.02589880626972811,0.14833978,1.0696057,1.1440563,-9.57099,83.206696,6923.354,0.017737558,1.1076365,1.2268585,0.04720989,0.021597957,0.00046647174,1194.6969613408432,557.9656330647157,311325.64768130897,1086.5481219538374,402.1572378733661,161730.44397393518,23.688414491141835,8.171253680107169,66.76938670466494,1977.3845179828083,1080.9891145251995,1168537.4657219748,11.397521,3.8561013,1.4249942,0.44815725,0.20084493,0.48758700367597735,0.5508820728601547,0.3034710581987008,0.026644894135249928,0.10849249544187771,0.011770621567205855,0.07946225666752423,0.024066436601848915,0.0005791933707108132,-1.5515018e-06,0.048466872,0.0023490377,-1.6197993e-05,0.008291499,6.874896e-05,1.821605442176871,1.1535778865439557,1.3307419403232192,FEAR_MODERATE
17,The Fifth Element,3.96,7.17,7.69,4.42,4.81,1.21,1.45,1.1,4.52,5.45,89.98163640073454,5959,297.95,0.640841,0.23847397,0.056869835,0.32685944,0.27009383,0.07295068,0.21559928289293914,0.19196427414856063,0.036850282549383745,0.32481807,2.6327436,6.9313393,-0.86334527,91.03643,8287.632,0.011260249,3.2705305,10.696369,0.0696414,0.026245436,0.00068882294,551.2394237999262,424.9285078273565,180564.23676438376,1143.0685949156152,549.5175733169395,301969.56338413805,19.193626922622048,7.050959691986878,49.71603257802369,998.5187318111081,1132.1740603208843,1281818.1028634773,8.826921,1.6041145,1.7091316,2.1772501,4.7404184,0.4707773835225283,0.5264422459198552,0.2771414382891413,0.05913064123243579,0.10692878872061068,0.011433765857256998,0.014104014386819816,0.02363928881190029,0.0005588159755324343,-8.536446e-08,0.06610507,0.0043698796,-1.702276e-05,0.015149427,0.00022950514,3.3622494331065758,2.001199098297617,4.004797831027195,FEAR_MODERATE
18,Lethal weapon 3,4.58,4.83,6.81,1.34,2.93,1.49,3.69,2.12,4.95,5.18,130.47337278106508,9177,296.03225806451616,0.28400043,0.292629,0.085631736,0.2939711,0.30063534,0.090381615,0.18808848086513455,0.2189887136342402,0.04795605669917926,0.12933508,0.6078897,0.3695299,-6.2053924,69.38556,4814.356,0.0005780226,1.5150627,2.295415,0.04774045,0.014906884,0.0002222152,1318.288238611622,255.30571073002073,65181.00593136102,1509.48917150573,138.94203818251344,19304.889974311027,24.995833208846964,5.9235503636777835,35.0884489110272,2470.451183431953,477.3233934836345,227837.62196673255,11.597368,4.292283,1.5511516,0.62387896,0.38922495,0.49769124393459585,0.5310718609278625,0.28203732146938293,0.04829476816789411,0.19488417201875424,0.03797984050343539,0.08430131998179335,0.03632274501357342,0.0013193418053210723,-0.0009281683,0.047464985,0.002252925,-0.0005574832,0.007154374,5.1185067e-05,2.4009433106575964,1.3403446041442506,1.796523657858608,FEAR_MODERATE
19,Man of Galilee CD1,4.58,8.33,8.33,4.18,4.15,2.33,1.39,1.06,4.24,4.47,124.2603550295858,6064,252.66666666666666,0.4063902,0.28118148,0.07906303,0.56949085,0.23396485,0.05473955,0.2656718327962366,0.11292391505797973,0.012751810592021823,0.9419026,4.1416993,17.153675,-0.2743113,37.99637,1443.7239,-0.0204595,1.5247997,2.325014,0.12467409,0.047677435,0.002273138,1847.6864219443723,475.5717927002063,226168.53001208798,1990.619614180412,294.07529207269005,86480.27740763794,20.320441117627976,7.393454981695348,54.66317656635576,3653.810515501684,1004.0193923346854,1008054.9401841111,13.747302,4.5403814,1.6853206,0.6776085,0.45915326,1.9580825997370257,2.212589754290099,4.895553420789522,-0.0038565924619068173,0.07372018206942187,0.00543466524434871,0.10001709401709402,0.03688862793261007,0.0013607708707505401,3.0839433e-06,0.10200924,0.010405884,6.30811e-06,0.044229884,0.0019562826,2.959383219954648,1.6691655152777525,2.7861135173924447,FEAR_MODERATE
20,The Rainmaker,8.0,7.77,4.02,1.0,1.09,6.63,1.12,2.19,5.79,5.92,104.37869822485207,8761,324.48148148148147,0.3588678,0.2953638,0.08723978,0.32148814,0.2714833,0.07370318,0.21957678963225238,0.18740161895812674,0.035119366788126924,0.4488441,2.4933865,6.216976,-2.7271187,67.4819,4553.807,0.013590371,2.414865,5.8315735,0.0822458,0.03527547,0.0012443588,936.0820059252995,215.48787038433682,46435.02228277674,1158.5197995099686,202.18562566243014,40879.027224508325,21.657178787075697,6.545774613037962,42.84716528469229,1686.8524597244418,490.9431138970686,241025.14108295005,12.010807,3.8010101,1.6827954,1.1687913,1.366073,0.9266253371743616,1.056139051092209,1.1154296952419518,-0.0020892994941333733,0.16680783428716722,0.02782485357957504,0.054032561480316044,0.023231818347935845,0.0005397173837514886,-0.00014587094,0.07539682,0.005684681,0.00013412439,0.024597192,0.0006050219,2.910621315192744,1.6909847279127606,2.859429350034193,HAPPY_HIGH
21,Batman,7.56,8.35,5.06,1.33,1.18,6.81,1.3,1.51,5.53,5.36,186.3905325443787,13464,306.0,0.4068804,0.27953187,0.07813807,0.44140264,0.2638516,0.06961767,0.243628153521455,0.15485043153010483,0.023978656145059684,0.10770252,0.430299,0.18515724,-7.309493,51.145824,2615.8953,0.03059489,2.288843,5.2388015,0.042677995,0.016651338,0.00027726704,2017.014884577398,412.4656946893524,170127.94929557008,2158.0767048002353,315.91304162557975,99801.04986912527,20.91843321666112,7.045342351084522,49.636848843985184,4153.367959328889,1009.0705619663551,1018223.3990270955,13.6418915,4.6346087,1.6715984,0.7845853,0.61557406,0.6579284454605869,0.7613072186765831,0.5795886812090748,0.0025372003232170563,0.12427864418942587,0.015445181401561916,0.10449327567420742,0.03497717622258058,0.001223402856505456,-2.0370248e-07,0.034116454,0.0011639325,1.4712786e-05,0.016623396,0.0002763373,3.0952199546485253,1.7904090804323909,3.2055646752947595,HAPPY_HIGH
22,Shallow Grave,8.27,8.54,4.46,1.04,1.03,8.21,1.1,1.45,4.35,4.85,124.2603550295858,9213,307.1,0.3296911,0.28870216,0.083348945,0.47567332,0.23533137,0.05538085,0.2688291567035563,0.10518658583387959,0.01106421783938812,0.43854335,2.3574944,5.55778,-2.5950043,48.190826,2322.3557,0.002454404,3.0389466,9.235196,0.08783656,0.03256853,0.0010607091,1718.2001626018005,231.92940427408138,53791.24856693028,1763.1288063912864,201.33518429771584,40535.85643619521,22.035782292780485,7.317261309889572,53.542313077206856,3249.6002869494273,492.57051492967696,242625.7121780871,13.2059145,4.5892997,1.9885018,1.8325503,3.3582406,1.1539879137037528,1.3166803594655128,1.733647169002232,-0.010131735255860645,0.093351466626707,0.00871449632135719,0.10880018825919077,0.0296396107269374,0.0008785065240443825,0.0016117044,0.066228956,0.004386274,0.0014567194,0.04700794,0.0022097465,2.2360816326530615,1.2170690000317916,1.4812569508383853,HAPPY_HIGH
23,Man of Galilee CD1,7.96,8.63,5.94,1.27,1.12,6.94,1.09,1.27,4.57,4.82,153.49808562478245,9793,288.02941176470586,0.35624403,0.28099695,0.078959286,0.4577771,0.25814006,0.06663629,0.24676664473325224,0.1497983857737666,0.022439556380426204,0.3314287,1.2694061,1.6113918,-6.5647116,43.67933,1907.8837,-0.0018336381,2.4887047,6.1936507,0.07597798,0.028552545,0.0008152478,1910.3043913395072,298.681999455808,89210.93679891931,1919.1164897629096,228.8413897482301,52368.38166190135,21.49455562639719,7.218395537547902,52.105234136491475,3663.5809365799396,690.0947766160708,476230.80071278464,13.291776,4.756131,1.7439607,1.1058762,1.2229621,1.117060663725902,1.2550700287905951,1.5752007771684253,0.0024673302614525807,0.11580324421639597,0.013410391371042246,0.11336315657836833,0.025090308112014514,0.0006295235611558214,1.2517163e-06,0.068353154,0.004672154,-1.7382712e-08,0.022331277,0.0004986859,2.737632653061225,1.5905567240683232,2.5298706924789562,HAPPY_HIGH
24,Oliwer Twist,7.67,7.42,4.15,1.09,1.12,6.28,1.58,2.22,5.89,5.75,124.2603550295858,8888,306.48275862068965,0.23894203,0.285136,0.08130254,0.25285366,0.290426,0.08434725,0.17630074150245617,0.2285856117060246,0.05225138187901745,0.7434762,3.308296,10.944822,-4.905043,52.2884,2734.0767,0.026308361,1.5952606,2.5448563,0.11782001,0.040166326,0.0016133336,1533.691298349329,213.64397900325147,45643.74976434175,1510.6437906616663,188.27886480470818,35448.93093214958,25.62817478858523,5.9287817790344715,35.150453383411154,2795.848502642396,429.29790214200295,184296.68878352476,11.439695,4.712776,1.4260142,0.49153993,0.2416115,1.2508721633887014,1.3674576609271192,1.8699404544282678,0.12297501003272074,0.2196742860233109,0.048256791939851405,0.11289302264514646,0.024406324012184732,0.0005956686517877451,-7.891969e-06,0.12150131,0.014762568,-1.867713e-05,0.010623656,0.000112862064,3.2624036281179136,1.87001382539249,3.4969517071590546,HAPPY_HIGH
25,The Omen,6.9,5.25,4.21,1.04,1.52,4.66,2.16,4.34,6.19,5.83,124.2603550295858,9253,308.43333333333334,0.27766442,0.3204541,0.10269082,0.3282052,0.27009508,0.072951354,0.21757485266053822,0.18972220961995573,0.03599451682307842,0.026625287,0.27866712,0.07765537,-9.170867,94.53508,8936.882,0.0065329266,1.859647,3.4582872,0.0202645,0.010133041,0.00010267852,1298.1286811563268,328.68808864351473,108035.859616127,1685.3711328556362,225.39340883612155,50802.18874676703,24.412078965598752,5.492574471971181,30.16837433014949,2204.230541647701,726.3431346874822,527574.3493076379,11.180891,3.6992223,1.6698084,0.96759516,0.93624043,0.1663885606103493,0.19163795166099312,0.036725104516821136,-0.014370806312236846,0.16286641776833066,0.026525470036688415,0.08284925674700534,0.03528803871802855,0.0012452456765650818,-0.0028326432,0.021430466,0.00045926488,-0.00034706655,0.0032663608,1.0669113e-05,1.555736961451247,0.9309725116304292,0.8667098174114696,HAPPY_MODERATE
